date,time,meal_type,food_description,calories,protein,carbs,fat,macro_estimated,corrected,comments
2026-02-17,08:30:00,cena,"dos panes de masa madre con champiñones, 200g de pollo, cebolla y poco queso",730,62,70,23,1,0,
2026-02-17,09:32:00,desayuno,"medio plátano, licuado con una taza de fresas, proteína en polvo, cucharada de yogurt griego, wheatgrass, cucharadita de chía. 2 huevos estrellados con pan de masa madre",590,44,53,23,1,0,
2026-02-17,13:30:00,comida,"taza de espinacas con cucharadita de aceite de oliva, una taza de carne de res y tomate, 2 tortillas, una cucharada de frijoles, media taza de manzana y media taza de yogurt griego sin azúcar",620,50,42,28,1,0,
2026-02-18,08:43:00,pre-entreno,medio plátano y 5 almendras,88,2,15,3,1,0,
2026-02-18,09:52:00,desayuno,"licuado de proteína, wheatgrass, 40g de avena, 200g de fresa, dos cucharadas de yogurt griego sin azúcar",368,36,47,6,1,0,
2026-02-18,12:44:00,snack,half an apple,47,0,12,0,1,0,
2026-02-18,12:58:00,snack,taza de té verde,2,0,0,0,1,0,
2026-02-18,14:26:00,comida,"75 g de nopales, 200 g de atún sellado marinado en aceite de ajonjolí y soya con costra ligera de everything bagel, espinaca y alfalfa, 1 taza de arroz blanco",570,63,53,11,1,0,3 nopales pequeños y un medallón de atún. Muy rico
2026-02-18,14:47:00,comida,"2 cucharadas de yogurt griego, media manzana, 1 café, 1 cucharadita de aceite de oliva",109,3,13,6,1,0,
2026-02-18,21:22:00,cena,"dos huevos enteros con jocoque y zathaar, un pan de masa madre",320,20,27,15,1,0,
2026-02-23,13:47:00,comida,"arroz, carne con jitomate, un pan de masa madre con jocoque, y una taza de espinaca",640,43,80,15,1,0,
2026-02-23,19:49:00,cena,2 huevos en un pan de masa madre con jocoque y media taza de alfalfa,380,25,34,17,1,0,
2026-02-23,20:01:00,cena,"media taza de fresas, cucharadita de chia, media taza de leche entera, cucharada de avena",200,8,26,10,1,1,
2026-02-23,20:03:00,cena,medio scoop de proteína,60,15,2,1,1,0,
2026-02-24,09:06:00,pre-entreno,"1/4 de licuado de fresas, proteína, chía, crema de cacahuate, wheatgrass, agua",190,21,16,11,1,0,
2026-02-24,09:31:00,desayuno,"3/4 del licuado, 2 huevos revueltos con nopales, café",317,29,19,18,1,1,
2026-02-24,09:33:00,desayuno,"3/4 del licuado, 2 huevos revueltos con nopales, café, medio pan de masa madre",437,33,32,24,1,0,
2026-02-24,14:30:00,comida,"medallón de atún sellado con soya y fishsauce, taza y media de arroz basmati, media taza de edamames",645,65,79,10,1,0,
2026-02-24,16:00:00,snack,"15 almendras, 1 café",160,5,6,14,1,0,
2026-02-24,20:30:00,cena,"taza de espinacas, 8 aceitunas, cucharadita de aceite de oliva",90,2,3,8,1,0,
2026-02-25,08:30:00,desayuno,"licuado de una taza de fresas, proteína, agua, wheatgrass, medio plátano, 50g de avena. Un huevo estrellado con cúrcuma. Media taza de espinaca fresca",380,28,52,8,1,0,
2026-02-25,14:00:00,comida,"3/4 de taza de cerdo, 1 taza de arroz, 1 taza de ensalada de garbanzos, pepinos, jitomate y alcachofas en escabeche, un dátil",720,45,95,18,1,0,
